Product Code,Product Name,Brand,Product Description,Product Features,Part Number,Barcode,Price,SRP,Commodity Code,Country of Origin,Item Weight Grams,Item Length(cm),Item Width(cm),Item Height(cm),Carton Barcode,Carton Weight Grams,Carton Length (cm),Carton Width(cm),Carton Height(cm),Carton Quantity
VTC-TOY134,VTech Toot-Toot Drivers® Fire Station,VTech,"Hurry, hurry! Let’s race to the emergency! Ring the bell and launch the SmartPoint™ fire engine down the ramp and off to the fire.   Spiral track links up with the lift for varied track play, change the route of the tracks using the chunky lever!   Play set includes four SmartPoint™ locations that trigger fun phrases and sounds when driven over with the included Toot-Toot Fire Engine or other Toot-Toot vehicles.   Manipulative features include twisting flag, swing-up fire station door, flip down fire and fuel pump. Also includes fire & fire extinguisher accessories.   Fire Engine includes fun sing-along songs and melodies.","  Ring the bell and launch the SmartPoint™ fire engine down the ramp and off to the fire
 Spiral track links up with the lift for varied track play, change the route of the tracks using the chunky lever!
 Play set includes four SmartPoint™ locations that trigger fun phrases and sounds when driven over with the included Toot-Toot Fire Engine
 Manipulative features include twisting flag, swing-up fire station door, flip down fire and fuel pump
 Also includes fire & fire extinguisher accessories
 Fire Engine includes sing-along songs and melodies
 Suitable from 1 to 5 years
 ",543003,3417765430039,24.79,39.99,9503009590,China,1627,76.2,35.7,36.6,33417765430030,8898,34,53.5,46.5,4
VTC-TOY135,VTech Toot-Toot Drivers® Construction Set,VTech,"Drive and work around this exciting new Toot-Toot Drivers® Construction Site by VTech®! Launch the included Toot-Toot dumper truck from the very top and watch as it scoots down the corkscrew track onto the cradle and down the second track!   Lift, track splitter and rock chute add to the role-play fun and help transport your Toot-Toot vehicles around the construction site. Load the dumper truck with the rock accessories to transport them! Play set includes six SmartPoint™ locations that trigger fun phrases and sounds when driven over with the included dumper truck or other Toot-Toot vehicles.   Truck includes three sing-along songs, melodies and lots of fun realistic sound effects.","  Drive and work around this exciting Toot-Toot Drivers® Construction Site by VTech®!
 Launch the included Toot-Toot dumper truck from the very top and watch as it scoots down the corkscrew track onto the cradle and down the second track!
 Lift, track splitter and rock chute add to the role-play fun and help transport your Toot-Toot vehicles around the construction site
 Load the dumper truck with the rock accessories to transport them!
 Play set includes six SmartPoint™ locations that trigger fun phrases and sounds
 Dumper includes three sing-along songs, melodies and lots of realistic sound effects
 ",543503,3417765435034,37.19,59.99,9503009590,China,3350,100,79,58,33417765435035,8420,31.2,59.5,43,2
VTC-TOY137,VTech Switch & Go Dinos® Dino Launcher 2-in-1,VTech,"Let's get launching! The Switch & Go Dinos® Dino Launcher 2-in-1 is here!   This amazing 2-in-1 toy by VTech® includes 2 dinos that can switch and combine into 1! Rip the Pterodactyl and Shred the Spinosaurus combine to form a mighty super car! Shred can be switched into a cool race car, while Rip can be switched into a vehicle launcher! Connect the two together to form a mighty super car!   Press the launcher button to release Shred and watch as he burns rubber! Hear cool dino and vehicle sound effects with Shred as you play, as well as fun phrases and dino facts! Let's Switch & Go!","  Combine Rip & Shred to form a mighty super car!
 Switch Shred the Spinosaurus into a race car and back again in just a few simple steps!
 Hear fun phrases and great sound effects in both Spinosaurus mode and race car mode!
 Rip the Pterodactyl switches into a launcher, so you can launch the race car for a speedy getaway!
 Switch Rip back into a Pterodactyl in just a few simple steps!
 Suitable from 3 to 8 years
 ",549303,3417765493034,16.69,26.99,9503004990,China,840,24.5,13.2,9.4,33417765493035,5000,56.1,37.3,26.8,4
VTC-TOY138,VTech Switch & Go Dinos® Rescue Raiders 3-in-1,VTech,"Rescue Raiders, assemble! Introducing the Switch & Go Dinos® Rescue Raiders 3-in-1 by VTech®!   These 3 mighty rescue vehicles (police car, helicopter and fire engine) combine together in a few simple steps to become a truly mega Rescue-Rex! Hear lively sound effects and fun phrases as you switch & go! See cool dino eye and driver animations on the LCD screen!   Lights illuminate the Rescue-Rex mouth and the police car emergency lights for added fun! Extend and spin the fire engine ladder! Spin the helicopter rotor blades! And bring the Rescue-Rex to life with over 20 articulations! Let's Switch & Go!","  Three rescue vehicles (Helicopter, police car, fire engine) join together to assemble one mega Rescue-Rex!
 Hear amazing sound effects and fun phrases as you switch & go!
 The LCD displays cool police car and T-Rex animations!
 LED lights illuminate T-Rex’s mouth and the police car’s emergency lights!
 Extend and rotate the fire engine ladder!
 Spin the rotor blades of the helicopter!
 Over 20 articulations!
 Suitable from 3 to 8 years
 ",549503,3417765495038,27.89,44.99,9503004990,China,1720,53.2,23.2,31.5,33417735495039,9000,56.1,35.3,47.7,4
VTC-TOY139,VTech Animal Friends Boat,VTech,"Sail away on the Animal Friends Boat By VTech®. Place the animals on the interactive SmartZone and they will invite you to play along, giving different responses when the house is on or off the boat for 2-in-1 play!   Press the trigger button to launch the animals and the captain down the slide! House includes a light up lantern button and 3 object buttons that introduce greetings, animals, colours, seafaring objects and play lots of songs and melodies.   Build motor skills by twisting the anchor, turning the gears, opening & closing the porthole and rotating the watchtower! Pull the boat along to trigger the motion sensor and store all the characters in the hold!","  Join your animal friends and sail away on the Animal Friends Boat By VTech®
 Place the animals on the interactive SmartZone and they will invite you to play along, giving different responses when the house is on or off the boat for fun 2-in-1 play!
 Press the trigger button to launch the animals and the captain down the slide!
 House includes a light up lantern button and 3 object buttons that introduce greetings, animals, colours, seafaring objects
 Build motor skills by twisting the anchor, turning the gears, opening & closing the porthole and rotating the watchtower!
 Pull the boat along to trigger the motion sensor and store all the characters in the hold!
 Suitable from 1 to 5 years
 ",566003,3417765660030,24.79,39.99,9503009590,China,790,37.5,11.8,28,33417765660031,4500,56.1,47.3,35.7,4
VTC-TOY140,VTech Toddler Tech Laptop,VTech,"Encourage essential early computer skills with the Toddler Tech Laptop by VTech®.   This pre-school laptop includes over twenty games in five fun categories: Alphabet & letters, patterns & shapes, numbers, logic & matching and music & French.   Levelled learning and quiz mode encourage repetitive play. Customisation feature allows you to personalise your child’s experience by creating their own character and wallpaper for extra fun!   Along with the easy to use abc keyboard & mouse the back-lit screen all make playing with this laptop a breeze!   Encourages logical thinking, visualisation skills and hand-eye co-ordination.","  Everything you need to encourage essential early computer skills!
 Toddler Tech Laptop
 Includes over twenty games in five fun categories: Alphabet & letters, patterns & shapes, numbers, logic & matching and music & French
 Levelled learning and quiz mode encourage repetitive play
 Customisation feature allows you to personalise your child’s experience by creating their own character and wallpaper
 Back-lit screen
 Easy to use
 ABC keyboard & mouse make playing with this laptop a breeze!
 Encourages logical thinking, visualisation skills and hand-eye co-ordination
 Suitable from 2 to 5 years
 ",524803,3417765248030,17.39,27.99,9503008700,China,720,30,4.8,16,33417765248031,4500,34.8,34.1,35.7,4
VTC-TOY141,VTech Toddler Tech Laptop pink,VTech,"Encourage essential early computer skills with the Toddler Tech Laptop by VTech®.   This pre-school laptop includes over twenty games in five fun categories: Alphabet & letters, patterns & shapes, numbers, logic & matching and music & French.   Levelled learning and quiz mode encourage repetitive play. Customisation feature allows you to personalise your child’s experience by creating their own character and wallpaper for extra fun!   Along with the easy to use abc keyboard & mouse the back-lit screen all make playing with this laptop a breeze!   Encourages logical thinking, visualisation skills and hand-eye co-ordination.","  Everything you need to encourage essential early computer skills!
 Toddler Tech Laptop
 Includes over twenty games in five fun categories: Alphabet & letters, patterns & shapes, numbers, logic & matching and music & French
 Levelled learning and quiz mode encourage repetitive play
 Customisation feature allows you to personalise your child’s experience by creating their own character and wallpaper
 Back-lit screen
 Easy to use
 ABC keyboard & mouse make playing with this laptop a breeze!
 Encourages logical thinking, visualisation skills and hand-eye co-ordination
 Suitable from 2 to 5 years
 ",524853,3417765248535,17.39,27.99,9503008700,China,720,30,4.8,16,3341775248536,4500,34.8,34.1,35.7,4
VTC-TOY142,VTech Snuggly Sounds Whale,VTech,"Introducing the Snuggly Sounds Whale by VTech®. This cute and soft fabric whale is sure to give little one a whale of a time!   The five rainbow piano keys play sound effects and introduce numbers and ocean animals! Press one of the two tail buttons to enjoy calming nature sounds or 9 songs and 15 melodies. Features a dangling fabric fish, easy-to-grasp crinkly sound fins and mirror for self-discovery! Whale's light up heart button triggers even more fun responses!   The Snuggly Sounds Whale includes various textures for tactile stimulation, such as ribbons, velour and corduroy, which encourages sensory exploration! Fabric and stuffing made from recycled plastic bottles.","  Fabric and stuffing made from recycled plastic bottles
 Rainbow piano keys play sound effects and introduce numbers and ocean animals!
 Press one of the two tail buttons to enjoy calming nature sounds or 9 songs and 15 melodies
 Dangling fabric fish and mirror for self-discovery!
 Light up heart button triggers more responses!
 Various textures for tactile stimulation!
 Suitable from 3 to 24 months
 ",562803,3417765628030,20.39,32.99,9503004100,China,230,11,32,6.5,33417765628031,3074,34.5,55,25.5,4
VTC-TOY143,VTech Twist & Play Cube,VTech,"Let’s hit the road for learning fun! Explore & discover with the Twist & Play Cube By VTech®.   Six interactive and engrossing sides of fun will encourage your little one to learn through play.  Piano keys, steering wheel, clock, pretend play phone, gears, beads & a shape sorter will also enhance baby’s motor skills and help develop hand-eye coordination. Fun responses, sing-along songs and melodies will help develop early language skills by introducing numbers, colours, places, animals and more!   Transform into a driver using the removable panel, which creates a fun windscreen for even more driving play. Includes 5 songs & 16 melodies.","  Let’s hit the road for learning fun! Explore & discover with the Twist & Play Cube By VTech®
 Six interactive and engrossing sides of fun will encourage your little one to learn through play
 Piano keys, steering wheel, clock, pretend play phone, gears, beads & a shape sorter enhance baby’s motor skills
 Fun responses, sing-along songs and melodies will help develop early language skills by introducing numbers, colours, places, animals and more!
 Also includes a removable panel, which transforms into a fun windscreen for even more driving play
 Includes 5 songs & 16 melodies
 Suitable from 9 to 36 months
 ",557203,3417765572036,24.79,39.99,9503009590,China,1810,21.5,21.5,24,33417765572037,3930,44.5,35.3,35.7,2
VTC-TOY144,VTech Explore & Discover Roller,VTech,"Grow-with-baby from sitting to crawling with the Explore & Discover Roller by VTech®!   Five different ways to play support and encourage continuous play, three light up keys introduce animals, colours, numbers and play piano notes. Tap the large drum button to hear different beats and sounds. Rolling, pushing and moving the roller triggers fun sounds and melodies. Strengthen little muscles and support hand-eye coordination with gears, rollers, beads and a fun ladybird slider.   Includes 18 upbeat melodies and 7 fun sing-along songs. Let's have lots of rolling fun together!","  Grows with baby from sitting to crawling with five ways to play!
 Three light up piano keys introduce animals, colours, numbers and play piano notes
 Large drum button plays different beats and sounds
 Rolling, pushing and moving the roller triggers fun sounds and melodies
 Varied manipulatives support physical development
 Includes 18 melodies and 7 sing-along songs
 Suitable from 6 - 36 months
 ",562603,3417765626036,14.19,22.99,9503005590,China,548,14,19,14,33417765626037,3756,31.5,51,25.7,4
VTC-TOY145,VTech Pop & Play Activity Tree,VTech,"Discover numbers, colours and continuous ball popping fun with the Pop & Play Activity Tree by VTech®.   Drop the multi-coloured balls into the tree and it will count them as you go! Features a spiral track with random ball routes, so you’ll never know where the balls will go! Press the seesaw to pop the ball up onto the tracks for looping play and to hear fun sounds.   Includes five chunky light up buttons that introduce colours, numbers, animals and play melodies & sounds. There are seven manipulative features to add to the fun!   Includes 15 melodies and 8 sing-along songs.","  Discover numbers, colours and much more with this interactive discovery tree!
 Drop the coloured balls into the tree and it will count them as you go!
 Features a spiral track with random ball routes, so you’ll never know where the balls will go!
 Five chunky light up buttons introduce colours, numbers, animals and play melodies & sounds
 Seven manipulative features add to the fun!
 Includes 15 melodies and 8 sing-along songs
 Suitable from 12 - 36 months
 ",564903,3417765649035,24.79,39.99,9503009590,China,1390,44.5,11.5,31.7,33417765649036,9146,34.5,55,50,4
VTC-TOY146,VTech Walk & Woof Puppy,VTech,"Meet the Walk & Woof Puppy by VTech®! This cute pull-along puppy is sure to be baby's best friend!   Pull or push the puppy along to see puppy wobble and walk, and trigger cute interactive phrases about where to go for walkies and more! Press the abc button to hear puppy introduce basic letters and friendly phrases. Press the body part button to hear about puppy’s ears, tail and emotions.   Includes 5 sing-along songs and 12 melodies. Stroke puppy's head to see puppy's ears move! Spin puppy's tail to hear a fun click-tic sound, encouraging motor skill development! Includes built-in pull cord storage.","  Cute pull-along puppy friend for babies!
 Pull or push along to trigger cute interactive phrases
 Press the abc button to hear puppy introduce basic letters and friendly phrases
 Press the body part button to hear about puppy’s ears, tail and emotions
 Includes 5 sing-along songs and 12 melodies
 Suitable from 12 - 36 months
 ",565003,3417765650031,12.39,19.99,9503004990,China,400,22,11.4,19,33417765650032,4092,51.5,37,21.5,6
VTC-TOY147,VTech Chomp-along Dino,VTech,"I’ve got the munchies! Feed me tasty treats to learn first words!   Feed Dino 9 colourful food pieces and listen as he eats them! He will introduce numbers 1-9, colours and healthy foods such as raspberries and mushrooms. Chunky buttons on his back introduce feelings: you will learn if he’s full of energy, hungry or tired.   Dino LOVES to eat so be sure to take him for a walk so he builds up an appetite for more food.   3 exciting modes explore number, colour and food learning.   Spin the spinner to build fine motor skills, activate songs and sound effects!","  3 fun play modes introduce foods, colours and numbers
 Dino buttons introduce Dino's feelings
 Includes 14 fun songs relating to foods, colours and numbers and 4 uplifting melodies
 Spin the dino lever to hear fun sounds
 Take dino for a walk after he's eaten with the pull cord
 Suitable from 2 to 5 years
 ",532003,3417765320033,20.39,32.99,9503004990,China,950,12,34,30,33417765320034,5816,36.5,53,34.5,4
VTC-TOY149,VTech My Busy Workbench,VTech,"This toy workbench is sure to hit the nail on the head for your little builder!   Discover 3 detachable smart tools which trigger fun responses on the workbench smart recognition point. 119 pieces included in total! Assemble the workbench and then play and create with 61 play pieces!   Press the 5 light up buttons on the panel for more fun role-play responses! 3 modes of play! Free play, Quiz mode and Music mode! Includes a play piece storage tray!  Play pieces include screws, nails, nuts, bolts, hammer, spanner, drill, screwdriver, saw and more! A double-sided 6 page booklet features 2D and 3D build projects!","  3 detachable smart tools trigger fun responses
 Features 119 pieces in total with 61 play pieces
 Includes double-sided 6 page booklet with 2D and 3D build projects!
 5 light up buttons on the panel trigger fun role-play responses
 3 modes of play! Free play, Quiz mode and Music mode!
 Storage for all of the tools and play pieces
 Suitable from 3 years+
 ",560003,3417765600036,46.49,74.99,9503009590,China,3746,61,30,85,33417765600037,9394,32,48,40.8,2
VTC-TOY150,VTech Snuggle Pet,VTech,"Say hello to Kosy! She loves nothing more than being with her best human friend and giving cute puppy kisses.   Like a real puppy her eyes open and close and her head magically moves! Kosy is very inquisitive and wants to know everything about you. Press her paw button and tell her all your favourite things and she will repeat what you say. Press her other paw button to sing together. Her beautiful charm button activates funny sounds mode, try to be a cat and she will meow with you!   Detectors sense when Kosy is upright or laid down for play or relaxing time. Boop her nose for a sweet surprise!","  Get to know Kosy, she loves to spend time with you!
 Press Kosy's charm button to interact with her, she will repeat what you say!
 Boop Kosy's nose for a sweet surprise!
 200+ phrases, songs, melodies and sounds
 Suitable from 4 years+
 ",563603,3417765636035,30.99,49.99,9503007900,China,700,20,15,30,33417765636036,4000,47.7,34.8,32.7,3
VTC-TOY151,VTech Shake It Bluey,VTech,"Shake It Bluey! Play with Bluey as she gives you different directions to follow in an exciting game.   Press her nose to make her sneeze, wave her right arm, turn her head, shake the shaker or bop her body down to count and hear fun sounds and phrases in Free Play mode.   In Follow Me mode, Bluey will ask you to follow a sequence, get it right to move to the next difficulty level; the more you get right, the faster the sequence becomes and the fewer instructions are given.   Bluey's tummy lights up with the sounds. Features music, sounds and phrases from the hit TV show.","  Play and have fun with Bluey; listen to the directions and help her turn, wave, shake and more!
 Press Bluey's nose, wave her arm, turn her head, shake the shaker and bop her body down to hear sounds and phrases from the show
 Follow Bluey's directions in Follow Me Mode to get to the next difficulty level
 Bluey's tummy lights up with the sounds
 Encourages independent play, motor skill development and imagination
 Suitable from 3 to 6 years
 ",560203,3417765602030,13.59,21.99,9503004990,China,244,15,10,17.5,33417765602031,932,18,22.6,23,2
VTC-TOY152,VTech Bluey Game Time Laptop,VTech,"Join Bluey, Bingo, Mum and Dad for role-play fun with the Bluey Game Time Laptop by VTech®This Bluey themed laptop includes 10 interactive games within 5 modes that will delight and entertain as they encourage problem solving and an interest in learning.   Help Bluey block the rain by finding the toy that fits the gap or type the letters and numbers so that Rita can avoid the beans! Introduces letters, numbers, memory skills and more through games based on episodes from the hit TV series.   Features an animated backlit LCD screen, membrane QWERTY keyboard, 1-10 number buttons and click-tick track pad.","  Bluey themed laptop with pre-school content
 Includes 10 games within 5 modes introducing letters, numbers, memory and comparison games & music
 Features an animated backlit LCD screen, membrane QWERTY keyboard, 1-10 number buttons & click-tick track pad
 Includes the real voices of Bluey and Bingo
 Suitable from 3 to 6 years
 ",530903,3417765309038,21.69,34.99,9503008700,China,540,23.8,5,29.5,33417765309039,3550,35.2,34.1,32.7,4
